,Date,Type,Confirmation Code,Start Date,Nights,Listing,Details,Reference,Currency,Amount,Paid Out,Host Fee,Cleaning Fee,Linens fee,Community fee,guest_name_sha256
170,02/16/2019,Reservation,HM2BSM3MWA,02/15/2019,3.0,"Red Victorian - Private room, Peace Room",,,USD,234.66,,7.26,28.0,16.0,28.0,186f0b1b22849b79925a3b2925ef98802906b6456f627bc8ef56cb4c1bbb52a9
171,02/15/2019,Payout,,,,,Transfer to *****4871,,USD,,243.62,,,,,
172,02/15/2019,Reservation,HMDN85QZWY,02/14/2019,3.0,"Red Victorian - Private room w bath, Sunshine",,,USD,79.93,,2.47,4.0,3.0,8.0,827e4bcaae0a738ff105cc9e544ccf12886ee09cd3de19e5f5ed531cec8784dd
173,02/15/2019,Reservation,HM8492EDC8,02/14/2019,3.0,"Red Victorian - Private suite w/bath, Gigi's",,,USD,63.83,,1.97,7.0,4.0,7.0,e5396102ceff04782aea27d05b5fe0dad9ce42cbb8492a02ec4e3aba78d42cfc
174,02/15/2019,Reservation,HM2JZF32FH,02/14/2019,3.0,"Red Victorian - Private room w/sink, Golden Gate",,,USD,76.39,,2.36,5.0,3.75,10.0,b5be823248988d5fe07a3e9aa20b6ed715fd8faa07f6a3e7134b22c88340f8ed
175,02/15/2019,Reservation,HMSQWTQ4AE,02/14/2019,1.0,"Red Victorian - Private room w/sink, Tea Garden",,,USD,23.47,,0.73,7.0,4.0,7.0,ade80cae5b547534ff4a57c91132e08182d98135dc1540676f7db48120587014
176,02/15/2019,Payout,,,,,Transfer to *****6485,,USD,,972.76,,,,,
177,02/15/2019,Reservation,HMDN85QZWY,02/14/2019,3.0,"Red Victorian - Private room w bath, Sunshine",,,USD,319.71,,9.89,16.0,12.0,32.0,827e4bcaae0a738ff105cc9e544ccf12886ee09cd3de19e5f5ed531cec8784dd
178,02/15/2019,Reservation,HM8492EDC8,02/14/2019,3.0,"Red Victorian - Private suite w/bath, Gigi's",,,USD,255.3,,7.9,28.0,16.0,28.0,e5396102ceff04782aea27d05b5fe0dad9ce42cbb8492a02ec4e3aba78d42cfc
179,02/15/2019,Reservation,HM2JZF32FH,02/14/2019,3.0,"Red Victorian - Private room w/sink, Golden Gate",,,USD,229.16,,7.09,15.0,11.25,30.0,b5be823248988d5fe07a3e9aa20b6ed715fd8faa07f6a3e7134b22c88340f8ed
180,02/15/2019,Reservation,HMRSQRJSTZ,02/14/2019,1.0,Red Victorian - Bunk #3 in shared Poster Room,,,USD,74.69,,2.31,15.0,20.0,15.0,907564d629dbedba7f76ddf8d4845c81d76d473fc067ad9b141ede62495ac043
181,02/15/2019,Reservation,HMSQWTQ4AE,02/14/2019,1.0,"Red Victorian - Private room w/sink, Tea Garden",,,USD,93.9,,2.9,28.0,16.0,28.0,ade80cae5b547534ff4a57c91132e08182d98135dc1540676f7db48120587014
182,02/14/2019,Payout,,,,,Transfer to *****4871,,USD,,242.97,,,,,
183,02/14/2019,Reservation,HMFSN8TRS4,02/13/2019,2.0,"Red Victorian - Private suite w/bath, Redwood",,,USD,73.71,,2.28,5.0,3.75,10.0,123ee76856d34ea27101354f698de865ee6100f54cb10b226ded01ed541cb1e1
184,02/14/2019,Reservation,HMFRATJZ3A,02/13/2019,5.0,"Red Victorian - Private room, Earth Charter",,,USD,98.55,,3.05,7.0,4.0,7.0,170b689d733a2d198e9cdb9268a2bb8757c27d2cb7386362993224c94f2864d5
185,02/14/2019,Reservation,HM83DYP25W,02/13/2019,1.0,"Red Victorian - Private room w/sink, Golden Gate",,,USD,32.49,,1.0,5.0,3.75,10.0,a7db92bef456d4395832d51bb635a0993bad1631c617045483548bcb4e5e2557
186,02/14/2019,Reservation,HM835JXR2K,02/13/2019,2.0,"Red Victorian - Private room, Peace Room",,,USD,38.22,,1.18,7.0,4.0,7.0,d56316d61d556cb21cb9013ac5c2a23e6d7dd36b63329b06d3d961493f2f5478
187,02/14/2019,Payout,,,,,Transfer to *****6485,,USD,,1178.45,,,,,
188,02/14/2019,Reservation,HMFSN8TRS4,02/13/2019,2.0,"Red Victorian - Private suite w/bath, Redwood",,,USD,221.15,,6.84,15.0,11.25,30.0,123ee76856d34ea27101354f698de865ee6100f54cb10b226ded01ed541cb1e1
189,02/14/2019,Reservation,HMFRATJZ3A,02/13/2019,5.0,"Red Victorian - Private room, Earth Charter",,,USD,394.21,,12.19,28.0,16.0,28.0,170b689d733a2d198e9cdb9268a2bb8757c27d2cb7386362993224c94f2864d5
190,02/14/2019,Reservation,HM83DYP25W,02/13/2019,1.0,"Red Victorian - Private room w/sink, Golden Gate",,,USD,97.49,,3.02,15.0,11.25,30.0,a7db92bef456d4395832d51bb635a0993bad1631c617045483548bcb4e5e2557
191,02/14/2019,Reservation,HMJMQAK5DC,02/13/2019,3.0,Red Victorian - Earth Bunk in shared Peacock Room,,,USD,151.32,,4.68,15.0,20.0,15.0,6954b72b271acf6193af02d46043e4ca8ba08953638db0a3f1970a04588f862b
192,02/14/2019,Reservation,HMPHRCY38K,02/13/2019,2.0,"Red Victorian - Private room, Skylight",,,USD,161.41,,4.99,28.0,16.0,28.0,807f8515ef9a9e58a242884cdd217b56075963bd25284ce8f1771110caa42dc1
193,02/14/2019,Reservation,HM835JXR2K,02/13/2019,2.0,"Red Victorian - Private room, Peace Room",,,USD,152.87,,4.73,28.0,16.0,28.0,d56316d61d556cb21cb9013ac5c2a23e6d7dd36b63329b06d3d961493f2f5478
194,02/13/2019,Payout,,,,,Transfer to *****4871,,USD,,379.86,,,,,
195,02/13/2019,Reservation,HMS9EQKNXT,02/12/2019,6.0,"Red Victorian - Private ensuite, Rose Garden",,,USD,175.49,,5.43,5.0,3.75,11.67,70b38f722c1bc70c5278ec884efe691ae196a2f53cda633f515bc224b144ad66
196,02/13/2019,Reservation,HMPSKD495T,02/12/2019,2.0,"Red Victorian - Private room w bath, Sunshine",,,USD,47.14,,1.46,7.0,4.0,7.0,24c727fd5462486d8bd9f301203c027806e4965a5e4d1b7764b485ab78444f51
197,02/12/2019,Reservation,HM9W4EZKK3,02/11/2019,2.0,"Red Victorian - Private suite w/bath, Redwood",,,USD,59.17,,1.83,8.75,5.0,8.75,a219f33d377465aee9361cf93384a44e7a451c388b41469e85867f5afaa1cbf7
198,02/12/2019,Reservation,HM285WSHBY,02/11/2019,3.0,"Red Victorian - Private suite w/bath, Gigi's",,,USD,61.69,,1.91,7.0,4.0,7.0,c546f5c2b13a4175ee6d0a1aa11777cf47a65b19415856ea4d699f327a6813f3
199,02/12/2019,Reservation,HMK33SRZPA,02/11/2019,1.0,"Red Victorian - Private ensuite, Rose Garden",,,USD,36.37,,1.12,8.75,5.0,8.75,f2bace9910a8801dc6d1b4ac924286a8a381cac4b38cdd9300162e52ab2de3a0
200,02/13/2019,Payout,,,,,Transfer to *****6485,,USD,,2418.36,,,,,
201,02/13/2019,Reservation,HM9C3NDRPZ,02/12/2019,4.0,"Red Victorian - Private room, Hole in the Wall",,,USD,344.35,,10.65,15.0,15.0,20.0,1cdf8f9fe1bcf81aad05b9b3df5d5f916f2881e5f78613cb02ccc463a89ce898
202,02/13/2019,Reservation,HMS9EQKNXT,02/12/2019,6.0,"Red Victorian - Private ensuite, Rose Garden",,,USD,526.47,,16.28,15.0,11.25,35.0,70b38f722c1bc70c5278ec884efe691ae196a2f53cda633f515bc224b144ad66
203,02/13/2019,Reservation,HM2M8Y3B9X,02/12/2019,7.0,"Red Victorian - Private room 1/2 bath, Night Duty",,,USD,625.65,,19.35,15.0,10.0,20.0,b3e10b6ca5f546dd49210f5fcb9b8ff0c42a222c0416e01a9d81a80ef31c0bb7
204,02/13/2019,Reservation,HMJACDTFBK,02/12/2019,3.0,"Red Victorian - Private room for 3, Friends Room",,,USD,342.41,,10.59,20.0,15.0,40.0,6c5863132fed826b04f1c0aac6aad510b8c9c02ed104bc116044452e6f16dc01
205,02/13/2019,Reservation,HMCNE2NSSK,02/12/2019,4.0,"Red Victorian - Private room w loftbed, Butterfly",,,USD,390.91,,12.09,35.0,20.0,35.0,bc01a8efb371219f258963d0294fa40cc769613803e5862ac394d3cb423b199e
206,02/13/2019,Reservation,HMPSKD495T,02/12/2019,2.0,"Red Victorian - Private room w bath, Sunshine",,,USD,188.57,,5.83,28.0,16.0,28.0,24c727fd5462486d8bd9f301203c027806e4965a5e4d1b7764b485ab78444f51
207,02/12/2019,Payout,,,,,Transfer to *****6485,,USD,,890.37,,,,,
208,02/12/2019,Reservation,HMMBDDF9EW,02/11/2019,4.0,Red Victorian - Bunk #2 in shared Poster Room,,,USD,210.49,,6.51,15.0,15.0,10.0,f8cd56a95a84efb74b559d2f3a915486a62bd2f8bc9cfd316faddea183f06ca7
209,02/12/2019,Reservation,HMDW8PZWDE,02/11/2019,3.0,Red Victorian - Bunk #3 in shared Poster Room,,,USD,146.47,,4.53,15.0,20.0,15.0,05a99bcd1fd303735b4fe63dc6e4245e2d900fbd7a62091c6620a59838912ba2
210,02/12/2019,Reservation,HM9W4EZKK3,02/11/2019,2.0,"Red Victorian - Private suite w/bath, Redwood",,,USD,177.51,,5.49,26.25,15.0,26.25,a219f33d377465aee9361cf93384a44e7a451c388b41469e85867f5afaa1cbf7
211,02/12/2019,Reservation,HM285WSHBY,02/11/2019,3.0,"Red Victorian - Private suite w/bath, Gigi's",,,USD,246.77,,7.63,28.0,16.0,28.0,c546f5c2b13a4175ee6d0a1aa11777cf47a65b19415856ea4d699f327a6813f3
212,02/12/2019,Reservation,HMK33SRZPA,02/11/2019,1.0,"Red Victorian - Private ensuite, Rose Garden",,,USD,109.13,,3.38,26.25,15.0,26.25,f2bace9910a8801dc6d1b4ac924286a8a381cac4b38cdd9300162e52ab2de3a0
213,02/11/2019,Payout,,,,,Transfer to *****4871,,USD,,537.11,,,,,
214,02/11/2019,Reservation,HMKYHZZWCE,02/10/2019,18.0,"Red Victorian - Private room, Playground",,,USD,256.84,,7.94,7.0,4.0,7.0,b72c19c832ca1d0b545bb6807230d2eddea3ea72baca0a7c76b1a7e621b4feba
215,02/11/2019,Reservation,HMHQT2B4RF,02/10/2019,4.0,"Red Victorian - Private room w/sink, Tea Garden",,,USD,70.03,,2.17,7.0,4.0,5.6,cfad0df2bb161a1657497fcbea06f6320750feae59d644c8517ea0fa035db44a
216,02/11/2019,Reservation,HME8H4ZHYN,02/10/2019,1.0,"Red Victorian - Private suite w/bath, Gigi's",,,USD,24.25,,0.75,7.0,4.0,7.0,f2bace9910a8801dc6d1b4ac924286a8a381cac4b38cdd9300162e52ab2de3a0
217,02/10/2019,Reservation,HMBJ9WQ98E,02/09/2019,4.0,"Red Victorian - Private room w/sink, Golden Gate",,,USD,97.73,,3.02,5.0,3.75,10.0,282dcb0ce292d7fe29629ce3b950fccbc7acedc1990ee180bfbb075a3e626b51
218,02/10/2019,Reservation,HMPKKNXZCQ,02/09/2019,4.0,"Red Victorian - Private room, Peace Room",,,USD,70.36,,2.18,7.0,4.0,7.0,7ecf757fd51a27eb2901849526412edf3ef8b444b06af3df67319f4595b2065d
219,02/10/2019,Reservation,HM4KTJD5CB,02/09/2019,2.0,"Red Victorian - Private room w bath, Sunshine",,,USD,36.28,,1.12,7.0,4.0,7.0,bf8627cec84ebfd2a4ccb94909567e1279d5a38544363da1918f3243c4a1065f
220,02/09/2019,Resolution Adjustment,,,,,Resolution adjustment for resolution 10849496,,USD,-150.0,,,,,,
221,02/09/2019,Reservation,HMBF4PCK8J,02/08/2019,3.0,"Red Victorian - Private ensuite, Rose Garden",,,USD,86.81,,2.68,8.75,5.0,8.75,fc61788ea8db76ec9c25702f88f09991b3ffb320e2faf56b074fe6e2095c5383
222,02/09/2019,Reservation,HMNX9HMFQK,02/08/2019,2.0,"Red Victorian - Private room w/sink, Tea Garden",,,USD,44.81,,1.39,7.0,4.0,7.0,d4899a34db5ef95d0bfa30ef21bac9e14fd28a13506a742341433533fa33e337
223,02/11/2019,Payout,,,,,Transfer to *****6485,,USD,,3099.03,,,,,
224,02/11/2019,Reservation,HMKYHZZWCE,02/10/2019,18.0,"Red Victorian - Private room, Playground",,,USD,1027.34,,31.78,28.0,16.0,28.0,b72c19c832ca1d0b545bb6807230d2eddea3ea72baca0a7c76b1a7e621b4feba
225,02/11/2019,Reservation,HM83H82KQR,02/10/2019,6.0,"Red Victorian - Private suite w bath, Flower Child",,,USD,515.94,,15.96,31.5,18.0,31.5,63ac23cc7320e078460a9fb49d72baeab28d7ad78d38275cd310655f491c985a
226,02/11/2019,Reservation,HMYKQ2SC5T,02/10/2019,3.0,"Red Victorian - Private room, Skylight",,,USD,237.46,,7.34,28.0,16.0,28.0,f549a266a6915125c5b9318affdc99ba91a874c57634cb3cfda1858be8446dcf
227,02/11/2019,Reservation,HM9P5PTWNT,02/10/2019,5.0,Red Victorian - Fire Bunk in shared Peacock Room,,,USD,203.7,,6.3,15.0,15.0,20.0,d100eedb5ccfecbfdb05ad53c0d4d54fb5aa53e852154d1a43a6985ae780cea7
228,02/11/2019,Reservation,HMPZ2CNFY9,02/10/2019,6.0,Red Victorian - Water Bunk in shared Peacock Room,,,USD,222.23,,6.87,15.0,15.0,20.0,4d153e9e9e007a1e26555d7d7d23b30385f35de438c0fedc3482fb56fcf7c6a8
229,02/11/2019,Reservation,HMHQT2B4RF,02/10/2019,4.0,"Red Victorian - Private room w/sink, Tea Garden",,,USD,280.14,,8.66,28.0,16.0,22.4,cfad0df2bb161a1657497fcbea06f6320750feae59d644c8517ea0fa035db44a
230,02/11/2019,Reservation,HMJEN3MY5C,02/10/2019,13.0,Red Victorian - Bunk #1 in shared Poster Room,,,USD,515.22,,15.93,15.0,20.0,16.15,674ccc6c401d94eb709826e8aeeead22562ae42906ef7894784f34174a19310e
231,02/11/2019,Reservation,HME8H4ZHYN,02/10/2019,1.0,"Red Victorian - Private suite w/bath, Gigi's",,,USD,97.0,,3.0,28.0,16.0,28.0,f2bace9910a8801dc6d1b4ac924286a8a381cac4b38cdd9300162e52ab2de3a0
232,02/10/2019,Payout,,,,,Transfer to *****6485,,USD,,841.65,,,,,
233,02/10/2019,Reservation,HMPKKNXZCQ,02/09/2019,4.0,"Red Victorian - Private room, Peace Room",,,USD,281.46,,8.7,28.0,16.0,28.0,7ecf757fd51a27eb2901849526412edf3ef8b444b06af3df67319f4595b2065d
234,02/10/2019,Reservation,HM4KTJD5CB,02/09/2019,2.0,"Red Victorian - Private room w bath, Sunshine",,,USD,145.11,,4.49,28.0,16.0,28.0,bf8627cec84ebfd2a4ccb94909567e1279d5a38544363da1918f3243c4a1065f
235,02/10/2019,Reservation,HM5JBYARJ8,02/09/2019,1.0,"Red Victorian - Private room w loftbed, Butterfly",,,USD,121.9,,3.77,35.0,20.0,11.67,8c3bad6bd766d6bd19032ccf42a4fbd5003e5bbca2db974fd4a7e607b6378290
236,02/10/2019,Reservation,HMBJ9WQ98E,02/09/2019,4.0,"Red Victorian - Private room w/sink, Golden Gate",,,USD,293.18,,9.07,15.0,11.25,30.0,282dcb0ce292d7fe29629ce3b950fccbc7acedc1990ee180bfbb075a3e626b51
237,02/09/2019,Payout,,,,,Transfer to *****6485,,USD,,2023.52,,,,,
238,02/09/2019,Reservation,HM2RFWDWW8,02/08/2019,4.0,"Red Victorian - Private room for 3, Friends Room",,,USD,424.86,,13.14,20.0,15.0,40.0,bef9eb5bab915c873bf42ec487463431efc5f0eb8676fbe15842da1f40a427f4
239,02/09/2019,Reservation,HMBF4PCK8J,02/08/2019,3.0,"Red Victorian - Private ensuite, Rose Garden",,,USD,260.45,,8.06,26.25,15.0,26.25,fc61788ea8db76ec9c25702f88f09991b3ffb320e2faf56b074fe6e2095c5383
240,02/09/2019,Reservation,HM9JM8NJA2,02/08/2019,7.0,"Red Victorian - Private room, The Conservatory",,,USD,487.92,,15.09,31.5,18.0,31.5,d89afdce0131a4b68dfaf80f3594cf9b08bd8aa5077bffbe03f94c19092c6852
241,02/09/2019,Reservation,HMNX9HMFQK,02/08/2019,2.0,"Red Victorian - Private room w/sink, Tea Garden",,,USD,179.26,,5.54,28.0,16.0,28.0,d4899a34db5ef95d0bfa30ef21bac9e14fd28a13506a742341433533fa33e337
242,02/09/2019,Reservation,HMF8JFRD8Y,02/08/2019,9.0,Red Victorian - Air Bunk in shared Peacock Room,,,USD,276.24,,8.54,15.0,15.0,20.0,481376002d9ca53e367fc6cc9fe7e857fe091385defa0b4cf595e989b3a01cf5
243,02/09/2019,Reservation,HMMRPZXS92,02/08/2019,2.0,Red Victorian - Bunk #1 in shared Poster Room,,,USD,114.46,,3.54,15.0,20.0,15.0,54c5efa9cc2c7aac82a66fdb14c776ba83acef830c6c6577ea8c84e1f47d583e
244,02/09/2019,Reservation,HM43X2EH3C,02/08/2019,2.0,Red Victorian - Bunk #2 in shared Poster Room,,,USD,105.73,,3.27,15.0,20.0,15.0,b842ec209ee77fd0eac322b0a35f31e79e64cc66c734e3529a97586374880634
245,02/09/2019,Reservation,HMX3CE2FCP,02/08/2019,4.0,Red Victorian - Bunk #2 in shared Hole in the Wall,,,USD,174.6,,5.4,15.0,20.0,15.0,8012ff5672261dbb66be49d3ee47127c021f90eba10212f45a51e65c4acf85f0
246,02/08/2019,Payout,,,,,Transfer to *****4871,,USD,,259.18,,,,,
247,02/08/2019,Reservation,HM5XCW5JCS,02/07/2019,4.0,"Red Victorian - Private suite w/bath, Redwood",,,USD,108.64,,3.36,5.0,3.75,10.0,b48fffe1e62d1d3fe7b7374a2184607f459d11bd43493ec5571831f34b02044d
248,02/07/2019,Reservation,HMK9RE9AJX,02/06/2019,4.0,"Red Victorian - Private room, Playground",,,USD,76.82,,2.38,4.0,3.0,8.0,0294fc8c8ddbc1068ea1caa173f7ca06ee872cad89de62ff6cc57346f77c33ff
249,02/07/2019,Reservation,HM3EQSW3SC,02/06/2019,3.0,"Red Victorian - Private room w/sink, Golden Gate",,,USD,73.72,,2.28,5.0,3.75,10.0,5dbe44fb5b1ca02aa40840bdc1234a753677e9244a074a942df1f82b8e137b7f
250,02/08/2019,Payout,,,,,Transfer to *****6485,,USD,,1334.81,,,,,
251,02/08/2019,Reservation,HMEPZDB3TZ,02/07/2019,3.0,Red Victorian - Water Bunk in shared Peacock Room,,,USD,121.25,,3.75,15.0,15.0,20.0,656c89e96ff5da455c37ed0b912007f315b4a545ea4c0bb1e85511f8a43ebc32
252,02/08/2019,Reservation,HM5XCW5JCS,02/07/2019,4.0,"Red Victorian - Private suite w/bath, Redwood",,,USD,325.92,,10.08,15.0,11.25,30.0,b48fffe1e62d1d3fe7b7374a2184607f459d11bd43493ec5571831f34b02044d
253,02/08/2019,Reservation,HMKBQEK8FM,02/07/2019,4.0,Red Victorian - Bunk #1 in shared Hole in the Wall,,,USD,148.99,,4.61,15.0,15.0,20.0,0e81beea95b40a34e9d08c0fcaa8e1e45f1c5bdc505bcbdfa3fab9198e4b3cf4
254,02/08/2019,Reservation,HMESRPWKPZ,02/07/2019,4.0,"Red Victorian - Private room 1/2 bath, Night Duty",,,USD,316.41,,9.79,15.0,10.0,20.0,dcb3408fa83de2f71fc87ed7fcb470f914ad6122966bb5c2eb4cecefe9df938f
255,02/08/2019,Reservation,HMAXB9HCZN,02/07/2019,3.0,"Red Victorian - Private suite w bath, Flower Child",,,USD,294.2,,9.1,31.5,18.0,31.5,e8a56f62a90be5a33e5143f9ad64a5362d1581bc9fc9cc10bd5992c6f65394c1
256,02/08/2019,Reservation,HMEBFHF48E,02/07/2019,3.0,Red Victorian - Earth Bunk in shared Peacock Room,,,USD,128.04,,3.96,15.0,20.0,15.0,8126959f29afc59eabfef7d14719e51a999668a59d9fb2096d1d5e29c624ffe9
257,02/07/2019,Payout,,,,,Transfer to *****7750,,USD,,187.41,,,,,
258,02/07/2019,Reservation,HMAEZB2BHR,02/06/2019,9.0,Red Victorian - Private room -  Rainbow Room,,,USD,131.34,,4.06,4.0,3.0,8.0,dfbbd934dc71bc51da89600f23c5826d3b9b7299d951b02f14278c9b7a927d50
259,02/06/2019,Reservation,HMSXHZEMCM,02/05/2019,2.0,"Red Victorian - Private suite w bath, Flower Child",,,USD,20.18,,0.62,3.5,2.0,3.5,0cbb853f2b158ee9bde32a72f593ea42c6ffde88232a0f2b077d8b719eb49979
260,02/03/2019,Reservation,HMX5EF289X,02/02/2019,4.0,"Red Victorian - Private room, The Conservatory",,,USD,35.89,,1.11,3.5,2.0,3.5,6d725684fbd410d42a4d8b563f70a48b6a54ac6895121e31d04650a9d80c4c24
261,02/07/2019,Payout,,,,,Transfer to *****6485,,USD,,1126.56,,,,,
262,02/07/2019,Reservation,HMK9RE9AJX,02/06/2019,4.0,"Red Victorian - Private room, Playground",,,USD,307.3,,9.5,16.0,12.0,32.0,0294fc8c8ddbc1068ea1caa173f7ca06ee872cad89de62ff6cc57346f77c33ff
263,02/07/2019,Reservation,HMAEZB2BHR,02/06/2019,9.0,Red Victorian - Private room -  Rainbow Room,,,USD,525.35,,16.25,16.0,12.0,32.0,dfbbd934dc71bc51da89600f23c5826d3b9b7299d951b02f14278c9b7a927d50
264,02/07/2019,Reservation,HM3EQSW3SC,02/06/2019,3.0,"Red Victorian - Private room w/sink, Golden Gate",,,USD,221.16,,6.84,15.0,11.25,30.0,5dbe44fb5b1ca02aa40840bdc1234a753677e9244a074a942df1f82b8e137b7f
265,02/07/2019,Reservation,HM4XBNB2CQ,02/06/2019,1.0,Red Victorian - Bunk #2 in shared Hole in the Wall,,,USD,72.75,,2.25,15.0,20.0,15.0,7f0646f223b5f2ccd2d7b2058985391dfbda535bd98874476cc7a16c4fe08af3
266,02/06/2019,Payout,,,,,Transfer to *****6485,,USD,,65.72,,,,,
267,02/06/2019,Reservation,HMRYJA3SPN,02/05/2019,4.0,"Red Victorian - Private room w loftbed, Butterfly",,,USD,65.72,,2.03,6.76,3.86,8.45,925d6996dd67aa27efc145a686ac413571c6bc29c920ef09adfd95e2267319dc
268,02/06/2019,Payout,,,,,Transfer to *****4871,,USD,,238.69,,,,,
269,02/06/2019,Reservation,HMWY3XYB94,02/05/2019,3.0,"Red Victorian - Private ensuite, Rose Garden",,,USD,81.24,,2.51,5.0,3.75,10.0,b6d36bbb887b70cff6e2c78aa65778ecde8748e0635adbf3e698a24fbed9edf5
270,02/05/2019,Reservation,HMS5KK2TSB,02/04/2019,3.0,"Red Victorian - Private room w/sink, Tea Garden",,,USD,45.01,,1.39,7.0,4.0,7.0,da7340ee2a411bec55bc146ede7dd156cc01500def9051fbff8b6c8826f52b86
271,02/05/2019,Reservation,HMH8YPPPKC,02/04/2019,7.0,"Red Victorian - Private room, Earth Charter",,,USD,112.44,,3.48,7.0,4.0,7.0,7cdce30088aa28e7f56c1336b00d5815c177de871c707d73bc14a2ab9f84e93a
272,02/06/2019,Payout,,,,,Transfer to *****6485,,USD,,934.54,,,,,
273,02/06/2019,Reservation,HMWY3XYB94,02/05/2019,3.0,"Red Victorian - Private ensuite, Rose Garden",,,USD,243.71,,7.54,15.0,11.25,30.0,b6d36bbb887b70cff6e2c78aa65778ecde8748e0635adbf3e698a24fbed9edf5
274,02/06/2019,Reservation,HMJXAPCMPT,02/05/2019,6.0,Red Victorian - Bunk #3 in shared Poster Room,,,USD,234.74,,7.26,15.0,15.0,20.0,0cfada2e193095473b319af4140a24dbc13dfdd96e0418d32ad45de8a4df63c8
275,02/06/2019,Reservation,HMRYJA3SPN,02/05/2019,4.0,"Red Victorian - Private room w loftbed, Butterfly",,,USD,274.51,,8.49,28.24,16.14,35.3,925d6996dd67aa27efc145a686ac413571c6bc29c920ef09adfd95e2267319dc
276,02/06/2019,Reservation,HMSXHZEMCM,02/05/2019,2.0,"Red Victorian - Private suite w bath, Flower Child",,,USD,181.58,,5.62,31.5,18.0,31.5,0cbb853f2b158ee9bde32a72f593ea42c6ffde88232a0f2b077d8b719eb49979
277,02/05/2019,Payout,,,,,Transfer to *****6485,,USD,,1287.7,,,,,
278,02/05/2019,Reservation,HMH8YPPPKC,02/04/2019,7.0,"Red Victorian - Private room, Earth Charter",,,USD,449.77,,13.91,28.0,16.0,28.0,7cdce30088aa28e7f56c1336b00d5815c177de871c707d73bc14a2ab9f84e93a
279,02/05/2019,Reservation,HMX2J3AENA,02/04/2019,6.0,Red Victorian - Fire Bunk in shared Peacock Room,,,USD,194.0,,6.0,15.0,15.0,20.0,4d153e9e9e007a1e26555d7d7d23b30385f35de438c0fedc3482fb56fcf7c6a8
280,02/05/2019,Reservation,HMS5KK2TSB,02/04/2019,3.0,"Red Victorian - Private room w/sink, Tea Garden",,,USD,180.03,,5.57,28.0,16.0,28.0,da7340ee2a411bec55bc146ede7dd156cc01500def9051fbff8b6c8826f52b86
281,02/05/2019,Reservation,HMM9YMK3ZP,02/04/2019,2.0,Red Victorian - Earth Bunk in shared Peacock Room,,,USD,97.0,,3.0,15.0,20.0,15.0,0fea3212189851520a2d6d40f9ff8868a2fc0ad7226377e3f56d6ff5e82944bd
282,02/05/2019,Reservation,HMXQ5549Z9,02/04/2019,3.0,"Red Victorian - Private room 1/2 bath, Night Duty",,,USD,241.77,,7.48,15.0,10.0,20.0,98d193991d2e02c546f6a386b6106fc18cf2ac87ac55b8874f216de709c40a93
283,02/05/2019,Reservation,HM98XDW9TD,02/04/2019,3.0,Red Victorian - Air Bunk in shared Peacock Room,,,USD,125.13,,3.87,15.0,15.0,15.0,809b863df929d0903b54f5870fcc0b46ec42ff2e81c8cbe757a1e1ac1db68f9a
284,02/04/2019,Payout,,,,,Transfer to *****4871,,USD,,539.16,,,,,
285,02/04/2019,Reservation,HM8K2FNHDC,02/03/2019,9.0,"Red Victorian - Private room w bath, Sunshine",,,USD,167.07,,4.25,4.0,3.0,8.06,7202f72ce176b7cbfa1275311baec634cc58f605b9e2c40b81271d50683e73ba
286,02/04/2019,Reservation,HM252EWF25,02/03/2019,4.0,"Red Victorian - Private suite w/bath, Redwood",,,USD,102.58,,3.17,5.0,3.75,10.0,91364e5f8f08ae5b3dafe2a4496b6131beaa4b924e458f29861f50cdc1fa357e
287,02/04/2019,Reservation,HMWPCM28WM,02/03/2019,5.0,"Red Victorian - Private room, Peace Room",,,USD,79.54,,2.46,7.0,4.0,7.0,50c445160bbf7781970f4846b2cfe3af9f127581fe3f7b989b9e2dee6ceb70d1
288,02/03/2019,Reservation,HM5MQNY4EW,02/02/2019,4.0,"Red Victorian - Private room w/sink, Golden Gate",,,USD,89.48,,2.77,5.0,3.75,10.0,30ea36f2ff63747b084960e1ed431b335756602a7cb8d1e36e7b33f0d7652a3d
289,02/02/2019,Reservation,HMH8NKXCC8,02/01/2019,3.0,"Red Victorian - Private room, Earth Charter",,,USD,59.36,,1.84,6.0,3.0,6.0,a4ef6de6779a1c9aae36852bbcb13a89f3128a75602c752c57518b7640c8a362
290,02/02/2019,Reservation,HMPRRHB9FC,02/01/2019,2.0,"Red Victorian - Private room, Peace Room",,,USD,41.13,,1.27,6.0,4.0,3.0,d5bc75ba8806661ed37531a59b0fbc79f0fa37edebfe314279e00f957d3a490c
291,02/04/2019,Payout,,,,,Transfer to *****6485,,USD,,1294.19,,,,,
292,02/04/2019,Reservation,HM8K2FNHDC,02/03/2019,9.0,"Red Victorian - Private room w bath, Sunshine",,,USD,668.3,,16.99,16.0,12.0,32.26,7202f72ce176b7cbfa1275311baec634cc58f605b9e2c40b81271d50683e73ba
293,02/04/2019,Reservation,HM252EWF25,02/03/2019,4.0,"Red Victorian - Private suite w/bath, Redwood",,,USD,307.73,,9.52,15.0,11.25,30.0,91364e5f8f08ae5b3dafe2a4496b6131beaa4b924e458f29861f50cdc1fa357e
