,Date,Type,Confirmation Code,Start Date,Nights,Listing,Details,Reference,Currency,Amount,Paid Out,Host Fee,Cleaning Fee,Linens fee,Community fee,guest_name_sha256
77,02/24/2019,Reservation,HMH8MYYSFH,02/23/2019,5.0,Red Victorian - Bunk #1 in shared Poster Room,,,USD,232.7,,7.2,15.0,20.0,15.0,2f6dd95fdb661238826f1f568be67f6b24e1a85d641541b9f56cd13bc40b966e
78,02/24/2019,Reservation,HM5TXCTMRF,02/23/2019,1.0,"Red Victorian - Private room w loftbed, Butterfly",,,USD,147.67,,4.57,30.8,17.6,30.8,82dcc3641a2995978c75ed4823340b2e35bfa16faf39bb7f3328ff865db11b75
79,02/24/2019,Reservation,HMNZMZAFW9,02/23/2019,9.0,"Red Victorian - Private room, Peace Room",,,USD,545.45,,16.87,28.0,16.0,28.0,6bf875628523674ec1c96029e5fd4d3fd2d48bd4f041e5b534c5bde95b2e2198
80,02/24/2019,Reservation,HMH8WQXWB9,02/23/2019,2.0,"Red Victorian - Private room w bath, Sunshine",,,USD,205.64,,6.36,28.0,16.0,28.0,6ec3eb40dcee2d568eea0d6990fe9dbc386a98a984283ac85826a4a39a5cefb6
81,02/24/2019,Reservation,HMYHMYSHJX,02/23/2019,5.0,"Red Victorian - Private room, Hole in the Wall",,,USD,450.08,,13.92,35.0,20.0,35.0,3479e564c7b0067196c2860b517760a79fca19b5c7e17e167cffa624683a50ae
82,02/24/2019,Reservation,HMQSTYJAJZ,02/23/2019,8.0,Red Victorian - Water Bunk in shared Peacock Room,,,USD,285.08,,8.82,15.0,15.0,20.0,d16bc771a1527ebc69cb8fdb80fc1a318d11f2679b600fc749243aeda0a2d103
83,02/23/2019,Payout,,,,,Transfer to *****7750,,USD,,128.21,,,,,
84,02/23/2019,Reservation,HM8Z298YEQ,02/22/2019,4.0,Red Victorian - Private room -  Rainbow Room,,,USD,51.1,,1.58,4.2,2.4,4.2,d89afdce0131a4b68dfaf80f3594cf9b08bd8aa5077bffbe03f94c19092c6852
85,02/23/2019,Reservation,HM43WCARW8,02/22/2019,7.0,"Red Victorian - Private suite w bath, Flower Child",,,USD,33.58,,0.48,0.0,,0.83,e60af2f1cad4052b92272237abefd93452340c65397825a49d525ff6ada983d2
86,02/23/2019,Reservation,HM9SC9WAXK,02/22/2019,4.0,"Red Victorian - Private room, The Conservatory",,,USD,43.53,,1.35,4.2,2.4,4.2,8bd6d3a982909d51b143b7dad7549a0b389717efa5691b91fc997d0eabb70802
87,02/23/2019,Payout,,,,,Transfer to *****6485,,USD,,1346.56,,,,,
88,02/23/2019,Reservation,HM8Z298YEQ,02/22/2019,4.0,Red Victorian - Private room -  Rainbow Room,,,USD,374.73,,11.59,30.8,17.6,30.8,d89afdce0131a4b68dfaf80f3594cf9b08bd8aa5077bffbe03f94c19092c6852
89,02/23/2019,Reservation,HM43WCARW8,02/22/2019,7.0,"Red Victorian - Private suite w bath, Flower Child",,,USD,246.25,,3.53,0.0,,6.12,e60af2f1cad4052b92272237abefd93452340c65397825a49d525ff6ada983d2
90,02/23/2019,Reservation,HMKJF2MNCD,02/22/2019,3.0,Red Victorian - Bunk #4 in shared Poster Room,,,USD,156.17,,4.83,15.0,20.0,15.0,8e6058013f17b2d62a953aebf95186e34866ce5738ea0e0cc10cacfeee1d67bc
91,02/23/2019,Reservation,HM9SC9WAXK,02/22/2019,4.0,"Red Victorian - Private room, The Conservatory",,,USD,319.25,,9.87,30.8,17.6,30.8,8bd6d3a982909d51b143b7dad7549a0b389717efa5691b91fc997d0eabb70802
92,02/23/2019,Reservation,HMZSWT9J2W,02/22/2019,7.0,Red Victorian - Bunk #2 in shared Poster Room,,,USD,250.16,,7.74,15.0,20.0,15.0,4d153e9e9e007a1e26555d7d7d23b30385f35de438c0fedc3482fb56fcf7c6a8
93,02/22/2019,Payout,,,,,Transfer to *****4871,,USD,,300.07,,,,,
94,02/22/2019,Reservation,HM29Y59FQR,02/21/2019,4.0,"Red Victorian - Private room, Skylight",,,USD,47.03,,1.45,4.2,2.4,4.2,57225f1235bcc954cf0bea934d3dabf2223c7241c3f29422b1187a2899dc1bf0
95,02/22/2019,Reservation,HMN8SJ2F88,02/21/2019,4.0,"Red Victorian - Private room, Earth Charter",,,USD,82.26,,2.54,7.0,4.0,7.0,dfe89c390c17adec03d6ef0fb59dde08ef4d72ef80febbc7aad678ed164ae803
96,02/22/2019,Reservation,HM2WS9ZZJN,02/21/2019,3.0,"Red Victorian - Private ensuite, Rose Garden",,,USD,89.24,,2.76,5.0,3.75,10.0,394eb22d919832e821ae7b5eaaa8c16cb485f6f74313cdfb03262a53603b04a4
97,02/22/2019,Reservation,HM8WXRRQKQ,02/21/2019,2.0,"Red Victorian - Private room w bath, Sunshine",,,USD,53.93,,1.67,7.0,4.0,7.0,06c986635ee760b808546a6bc976c83e70ab156fc5b2216b38780d8f16fc579c
98,02/21/2019,Adjustment,HM5RSWXZFQ,02/20/2019,5.0,"Red Victorian - Twin Bunk 2, shared room Hula Hoop",,,USD,-17.46,,,,,,eefb9ee8d4ea580d1eca29cacab7652251b827f1fb7344d922e048ab8d3a1c42
99,02/21/2019,Reservation,HMWX3N8TJY,02/20/2019,4.0,"Red Victorian - Private room w/sink, Golden Gate",,,USD,100.15,,3.1,5.0,3.75,10.0,1c740f74761416fbe64efbf75819af58e38be92a03cfa1cd5518563747409ef1
100,02/20/2019,Reservation,HMDEJ5PDXN,02/19/2019,6.0,"Red Victorian - Private suite w/bath, Redwood",,,USD,182.12,,5.63,5.0,3.75,10.0,c563d4a7351910d3ee5a3ba0cb658c7bb9816b9c90cb0bd948c04fd1e89ab759
101,02/19/2019,Resolution Adjustment,,,,,Resolution adjustment for resolution 10995993,,USD,-384.99,,,,,,
102,02/19/2019,Reservation,HMFNXQF4JQ,02/18/2019,12.0,"Red Victorian - Private room w/sink, Golden Gate",,,USD,109.23,,1.63,0.0,,2.41,4fca830eb57e49e8ac3b55abc93453f084c1928cf2be44d081236a503789158b
103,02/19/2019,Reservation,HM9B2CSWFT,02/18/2019,2.0,"Red Victorian - Private room w/sink, Golden Gate",,,USD,38.56,,1.19,5.0,3.75,10.0,ab6a0d86a07c739291e49587bd1d04ff7ac0fcd8d30ebdb94eabedc5d2632a28
104,02/22/2019,Payout,,,,,Transfer to *****6485,,USD,,1350.35,,,,,
105,02/22/2019,Reservation,HMN8SJ2F88,02/21/2019,4.0,"Red Victorian - Private room, Earth Charter",,,USD,329.02,,10.18,28.0,16.0,28.0,dfe89c390c17adec03d6ef0fb59dde08ef4d72ef80febbc7aad678ed164ae803
106,02/22/2019,Reservation,HMTNZNHCDX,02/21/2019,5.0,Red Victorian - Earth Bunk in shared Peacock Room,,,USD,193.03,,5.97,15.0,20.0,15.0,46ac5905750e4cb32c2a6d034f918bbb63ef3ea67bfc42ce5333cb9651ed841b
107,02/22/2019,Reservation,HM2WS9ZZJN,02/21/2019,3.0,"Red Victorian - Private ensuite, Rose Garden",,,USD,267.72,,8.28,15.0,11.25,30.0,394eb22d919832e821ae7b5eaaa8c16cb485f6f74313cdfb03262a53603b04a4
108,02/22/2019,Reservation,HM8WXRRQKQ,02/21/2019,2.0,"Red Victorian - Private room w bath, Sunshine",,,USD,215.73,,6.67,28.0,16.0,28.0,06c986635ee760b808546a6bc976c83e70ab156fc5b2216b38780d8f16fc579c
109,02/22/2019,Reservation,HM29Y59FQR,02/21/2019,4.0,"Red Victorian - Private room, Skylight",,,USD,344.85,,10.67,30.8,17.6,30.8,57225f1235bcc954cf0bea934d3dabf2223c7241c3f29422b1187a2899dc1bf0
110,02/21/2019,Payout,,,,,Transfer to *****6485,,USD,,1823.48,,,,,
111,02/21/2019,Reservation,HMWX3N8TJY,02/20/2019,4.0,"Red Victorian - Private room w/sink, Golden Gate",,,USD,300.46,,9.29,15.0,11.25,30.0,1c740f74761416fbe64efbf75819af58e38be92a03cfa1cd5518563747409ef1
112,02/21/2019,Reservation,HM2RHDBK4N,02/20/2019,3.0,"Red Victorian - Private room 1/2 bath, Night Duty",,,USD,339.5,,10.5,35.0,20.0,35.0,d55b96fe99ce66c1fec905f6f2c151f773793b00952b2d0015afdb9736fa1da5
113,02/21/2019,Reservation,HMRTCMZF4P,02/20/2019,1.0,Red Victorian - Earth Bunk in shared Peacock Room,,,USD,77.11,,2.39,15.0,20.0,7.5,5850d33fb72679f232ea01774d469f668e6ffc796f61d15fece18b2f92c71d40
114,02/21/2019,Reservation,HM5RSWXZFQ,02/20/2019,5.0,"Red Victorian - Twin Bunk 2, shared room Hula Hoop",,,USD,194.0,,5.46,30.0,,,eefb9ee8d4ea580d1eca29cacab7652251b827f1fb7344d922e048ab8d3a1c42
